Club,Affiliate,Level,City,State
Rangers,Express,AAA,Round Rock,TX
Rangers,RoughRiders,AA,Frisco,TX
Rangers,Crawdads,High A,Hickory,NC
Rangers,Wood Ducks,Low A,Kinston,NC
Rangers,ACL Rangers,Rookie,Surprise,AZ
Braves,Stripers,AAA,Gwinett,
Braves,Braves,AA,,MI
Braves,Braves,High A,Rome,GA
Braves,GreenJackets,Low A,Augusta,GA
Braves,GCL Braves,Rookie,,FL
Marlins,Jumbo Shrimp,AAA,Jacksonville,FL
Marlins,Blue Wahoos,AA,Pensacola,FL
Marlins,Sky Carp,High A,Beloit,WI
Marlins,Hammerheads,Low A,Jupiter,FL
Marlins,GCL Marlins,Rookie,,FL
Mets,Mets,AAA,Syracuse,NY
Mets,Rumble Ponies,AA,Binghamton,NY
Mets,Cyclones,High A,Brooklyn,NY
Mets,Mets,Low A,St Lucie,FL
Mets,GCL Mets,Rookie,St Lucie,FL
Phillies,IronPigs,AAA,Allentown,PA
Phillies,Fighting Phils,AA,Reading,PA
Phillies,BlueClaws,High A,Lakewood,NJ
Phillies,Threshers,Low A,Clearwater,FL
Phillies,GCL Phillies,Rookie,Clearwater,FL
Nationals,Red Wings,AAA,Rochester,NY
Nationals,Senators,AA,Harrisburg,PA
Nationals,Blue Rocks,High A,Wilmington,NC
Nationals,Nationals,Low A,Fredricksburg,VA
Nationals,GCL Nationals,Rookie,West Palm Beach,FL
Cubs,Cubs,AAA,Des Moines,IA
Cubs,Smokies,AA,Kodak,TN
Cubs,Cubs,High A,South Bend,IN
Cubs,Pelicans,Low A,Myrtle Beach,SC
Cubs,ACL Cubs,Rookie,Mesa,AZ
Reds,Bats,AAA,Louisville,KY
Reds,Lookouts,AA,Chattanooga,TN
Reds,Dragons,High A,Dayton,OH
Reds,Tortugas,Low A,Daytona,FL
Reds,ACL Reds,Rookie,Goodyear,AZ
Brewers,Sounds,AAA,Nashville,TN
Brewers,Shuckers,AA,Biloxi,MI
Brewers,Timber Rattlers,High A,Appleton,WI
Brewers,Mudcats,Low A,Zebulon,NC
Brewers,ACL Brewers,Rookie,Phoenix,AZ
Pirates,Indians,AAA,Indianapolis,IN
Pirates,Curve,AA,Altoona,
Pirates,Grasshoppers,High A,Greensboro,
Pirates,Marauders,Low A,Bradenton,FL
Pirates,FCL Pirates,Rookie,Bradenton,FL
Cardinals,Redbirds,AAA,Memphis,TN
Cardinals,Cardinals,AA,Springfield,MO
Cardinals,Chiefs,High A,Peoria,IL
Cardinals,Cardinals,Low A,Palm Beach,FL
Cardinals,FCL Cardinals,Rookie,Palm Beach,FL
Diamondbacks,Aces,AAA,Reno,NV
Diamondbacks,Sod Poodles,AA,Amarillo,TX
Diamondbacks,Hops,High A,Hillsboro,OR
Diamondbacks,Rawhide,Low A,Visalia,CA
Diamondbacks,ACL Diamondbacks,Rookie,Phoenix,AZ
Rockies,Isotopes,AAA,Albuquerque,NM
Rockies,Yard Goats,AA,Hartford,CT
Rockies,Indians,High A,Spokane,WA
Rockies,Grizzlies,Low A,Fresno,CA
Rockies,ACL Rockies,Rookie,Scottsdale,AZ
Dodgers,Dodgers,AAA,Oklahoma City,OK
Dodgers,Drillers,AA,Tulsa,OK
Dodgers,Loons,High A,Midland,MI
Dodgers,Quakes,Low A,Rancho Cucamonga,CA
Dodgers,ACL Dodgers,Rookie,Glendale,AZ
Padres,Chihuahuas,AAA,El Paso,TX
Padres,Missions,AA,San Antonio,TX
Padres,TinCaps,High A,Fort Wayne,IN
Padres,Storm Chasers,Low A,Lake Elsinore,CA
Padres,ACL Padres,Rookie,Peoria,AZ
Giants,River Cats,AAA,Sacramento,CA
Giants,Flying Squirrels,AA,Richmond,VA
Giants,Emeralds,High A,Eugene,OR
Giants,Giants,Low A,San Jose,CA
Giants,ACL Giants,Rookie,Scottsdale,AZ
